Type,Description,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg
Breakfast Cereals,"Cereals ready-to-eat, POST, ALPHA-BITS",10,4.6,80.3,21,7.1,741
Vegetables and Vegetable Products,"Corn, sweet, yellow, canned, cream style, regular pack",1.74,0.42,18.13,3.23,1.2,4
Breakfast Cereals,"Cereals ready-to-eat, KELLOGG, KELLOGG'S FROOT LOOPS",5.3,3.4,88,41.7,9.3,501
Poultry Products,"Chicken, capons, meat and skin, cooked, roasted",28.96,11.65,0,0,0,0
Poultry Products,"Duck, domesticated, meat only, cooked, roasted",23.48,11.2,0,0,0,23
Vegetables and Vegetable Products,"Potatoes, mashed, home-prepared, whole milk added",1.91,0.57,17.57,1.48,1.5,7
Poultry Products,"Chicken, broilers or fryers, meat and skin and giblets and neck, stewed",24.49,12.37,0.06,0,0,174
Poultry Products,"Chicken, stewing, meat and skin, cooked, stewed",26.88,18.87,0,0,0,39
Vegetables and Vegetable Products,"Corn, sweet, yellow, canned, cream style, no salt added",1.74,0.42,18.13,3.23,1.2,4
Poultry Products,"Chicken, broilers or fryers, thigh, meat and skin, cooked, stewed",23.26,14.74,0,0,0,45
Poultry Products,"Chicken, ground, crumbles, cooked, pan-browned",23.28,10.92,0,0,0,0
Poultry Products,"Turkey, all classes, wing, meat and skin, cooked, roasted",27.38,12.43,0,0,0,0
Vegetables and Vegetable Products,"PACE, Diced Green Chilies",0,0,6.67,3.33,3.3,0
Vegetables and Vegetable Products,"Pumpkin, canned, with salt",1.1,0.28,8.09,3.3,2.9,778
Vegetables and Vegetable Products,"Cowpeas (blackeyes), immature seeds, cooked, boiled, drained, with salt",3.17,0.38,19.73,3.23,5,40
Poultry Products,"Turkey, wing, smoked, cooked, with skin, bone removed",27.4,12.41,0,0,0,0
Fruits and Fruit Juices,"Plums, dried (prunes), stewed, without added sugar",0.96,0.16,28.08,24.98,3.1,17
Breakfast Cereals,"Cereals ready-to-eat, KELLOGG'S, SPECIAL K Vanilla Almond",7.7,4.2,83.2,30.4,9.3,749
Vegetables and Vegetable Products,"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",2.55,0.67,19.3,3.07,2.4,10
Poultry Products,"Chicken, broilers or fryers, dark meat, meat and skin, cooked, roasted",25.97,15.78,0,0,0,60
Vegetables and Vegetable Products,"Corn, sweet, yellow, frozen, kernels, cut off cob, boiled, drained, with salt",2.55,0.67,18.71,3.07,2.4,10
Fruits and Fruit Juices,"Pears, raw",0.36,0.14,15.23,9.75,3.1,1
Vegetables and Vegetable Products,"Leeks, (bulb and lower leaf-portion), raw",1.5,0.3,14.15,3.9,1.8,83
Fruits and Fruit Juices,"Apples, raw, golden delicious, with skin",0.28,0.15,13.6,10.04,2.4,3
Poultry Products,"Chicken, broilers or fryers, meat and skin, cooked, roasted",27.3,13.6,0,0,0,48
Fruits and Fruit Juices,"Feijoa, raw",0.71,0.42,15.21,8.2,6.4,0
Vegetables and Vegetable Products,"Onions, frozen, whole, unprepared",0.89,0.06,8.45,3.81,1.7,0
Breakfast Cereals,"Cereals ready-to-eat, POST GREAT GRAINS Cranberry Almond Crunch",8.9,5.9,76.6,25.5,11.1,467
Poultry Products,"Turkey, all classes, leg, meat and skin, cooked, roasted",27.87,9.82,0,0,0,0
Fruits and Fruit Juices,"Cherries, sweet, frozen, sweetened",1.15,0.13,22.36,20.26,2.1,9
Fruits and Fruit Juices,"Apples, dried, sulfured, uncooked",0.93,0.32,65.89,57.19,8.7,0
Vegetables and Vegetable Products,"Corn, sweet, white, canned, cream style, no salt added",1.74,0.42,18.13,2.21,1.2,0
Breakfast Cereals,"Cereals ready-to-eat, GENERAL MILLS, Oat Cluster CHEERIOS Crunch",8.5,4.6,80.7,27.9,7,554
Breakfast Cereals,"Cereals, QUAKER, Instant Oatmeal, Raisin and Spice, dry",9.11,4,75.68,35.65,5.8,494
Fruits and Fruit Juices,"Apples, raw, granny smith, with skin",0.44,0.19,13.61,9.59,2.8,5
Vegetables and Vegetable Products,"Mushrooms, shiitake, raw",2.24,0.49,6.79,2.38,2.5,0
Breakfast Cereals,"Cereals ready-to-eat, GENERAL MILLS, Multi-Grain Cheerios",8.3,4.09,81.4,21.2,8.7,502
Breakfast Cereals,"Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS, pecan bunches",7,5.4,82,21.9,5.2,748
Vegetables and Vegetable Products,"Squash, winter, all varieties, cooked, baked, with salt",0.89,0.35,8.85,3.3,2.8,261
Breakfast Cereals,"Cereals ready-to-eat, GENERAL MILLS, Berry Burst CHEERIOS, Triple Berry",8.8,4.5,80.5,27,7.6,549
Breakfast Cereals,"Cereals ready-to-eat, KASHI, HEART TO HEART, Oat Flakes & Blueberry Clusters",10.39,3.29,80,22.5,8.1,114
